number,survey,category_1,category_2
358,Pengaruh Penggunaan Pestisida dan Bahan Kimia pada Kesehatan Petani dan Nelayan: Studi Kasus tentang Dampak Paparan dan Kebijakan Pengendalian,Kesehatan,Pertanian dan Perikanan
359,Persepsi Masyarakat tentang Dampak Teknologi Informasi dan Komunikasi terhadap Pariwisata,Teknologi Informasi dan Komunikasi,Pariwisata
360,Potensi Peningkatan Pariwisata melalui Olahraga dan Rekreasi di Lingkungan Pertanian dan Perikanan,Olahraga dan Rekreasi,Pertanian dan Perikanan
361,Tantangan dan Solusi dalam Meningkatkan Keadilan Sosial dan Aksesibilitas Transportasi di Daerah Terpencil,Sosial dan Kemanusiaan,Transportasi dan Logistik
362,Penilaian Terhadap Peran Bisnis dalam Membentuk dan Mendukung Kepemimpinan Politik,Bisnis dan Industri,Politik dan Pemerintahan
363,Survei Mengenai Multikepercayaan dan Toleransi Agama,Agama dan Kepercayaan,Agama dan Kepercayaan
364,Peran Seni dan Budaya dalam Mendorong Kesadaran Lingkungan dan Konservasi,Seni dan Budaya,Lingkungan dan Konservasi
365,Etika dan Nilai-nilai Budaya dalam Olahraga dan Rekreasi,Olahraga dan Rekreasi,Seni dan Budaya
366,Dampak Bisnis dan Industri terhadap Lingkungan dan Konservasi Alam,Lingkungan dan Konservasi,Bisnis dan Industri
367,Tantangan dan Peluang Pendidikan dalam Membangun Masyarakat yang Lebih Adil dan Manusia yang Berdaya,Sosial dan Kemanusiaan,Pendidikan
368,Dampak Kegiatan Keagamaan/Kepercayaan terhadap Pendidikan dan Pengembangan Kemanusiaan,Agama dan Kepercayaan,Pendidikan
369,Studi Tentang Tantangan dan Peluang dalam Pembangunan Infrastruktur dan Sarana Olahraga,Politik dan Pemerintahan,Olahraga dan Rekreasi
370,Penilaian Terhadap Keterlibatan Industri dalam Pengembangan Kurikulum Pendidikan,Bisnis dan Industri,Pendidikan
371,Analisis Dampak Kebijakan Keuangan terhadap Pembangunan Infrastruktur Transportasi dan Logistik,Keuangan,Transportasi dan Logistik
372,Dampak Program Olahraga dan Rekreasi terhadap Kualitas Hidup dan Kesejahteraan,Olahraga dan Rekreasi,Kesehatan
373,Peran Seni dan Budaya dalam Meningkatkan Pengalaman Wisatawan di Sektor Transportasi dan Logistik,Seni dan Budaya,Transportasi dan Logistik
374,Persepsi Masyarakat terhadap Peran Teknologi dalam Transformasi Transportasi dan Logistik,Transportasi dan Logistik,Teknologi Informasi dan Komunikasi
375,Peran Seni dan Budaya dalam Menciptakan Pengalaman Rekreasi yang Memuaskan,Olahraga dan Rekreasi,Seni dan Budaya
376,Inovasi Pendidikan untuk Mendorong Partisipasi Aktif dalam Pembangunan Sosial dan Kemanusiaan,Sosial dan Kemanusiaan,Pendidikan
377,Pengaruh Olahraga Ekstrim terhadap Konservasi Lingkungan dan Keberlanjutan,Lingkungan dan Konservasi,Olahraga dan Rekreasi
378,Persepsi Masyarakat tentang Kebijakan Kesehatan dan Dampaknya pada Kualitas Pelayanan Kesehatan,Kesehatan,Politik dan Pemerintahan
379,"Persepsi Masyarakat terhadap Hubungan Antara Olahraga, Rekreasi, dan Praktik Keagamaan",Olahraga dan Rekreasi,Agama dan Kepercayaan
380,Tinjauan atas Peran Pendidikan Hukum dalam Meningkatkan Kesadaran Hukum dan Penerapan Nilai Keadilan di Kalangan Siswa,Pendidikan,Hukum
381,Survei Terhadap Penerapan Prinsip Keuangan Islami dalam Industri Keuangan,Agama dan Kepercayaan,Keuangan
382,Analisis Dampak Transportasi terhadap Pengembangan Industri Seni dan Budaya,Transportasi dan Logistik,Seni dan Budaya
383,Tinjauan tentang Etika dan Tanggung Jawab Sosial dalam Industri Pariwisata,Pariwisata,Sosial dan Kemanusiaan
384,Analisis Dampak Industri FinTech terhadap Inklusi Keuangan dan Akses Perbankan,Bisnis dan Industri,Keuangan
385,Penilaian Penerimaan dan Penggunaan Teknologi Keuangan oleh Masyarakat,Keuangan,Teknologi Informasi dan Komunikasi
386,Peran Organisasi Sosial dan Kemanusiaan dalam Meningkatkan Kesehatan Masyarakat,Sosial dan Kemanusiaan,Kesehatan
387,Pengaruh Media Sosial terhadap Persepsi dan Keputusan Wisatawan dalam Memilih Destinasi Pariwisata,Pariwisata,Teknologi Informasi dan Komunikasi
388,Peran Pendidikan dan Kesadaran Lingkungan dalam Praktik Olahraga dan Rekreasi Berkelanjutan,Lingkungan dan Konservasi,Olahraga dan Rekreasi
389,Kontribusi Konservasi Lingkungan dalam Meningkatkan Kesejahteraan Sosial dan Kemanusiaan di Komunitas,Lingkungan dan Konservasi,Sosial dan Kemanusiaan
390,Konflik Agama dan Upaya Versi Perdamaian dalam Masyarakat,Sosial dan Kemanusiaan,Agama dan Kepercayaan
391,Dampak Industri Olahraga dan Rekreasi terhadap Pertumbuhan Ekonomi dan Lapangan Kerja,Olahraga dan Rekreasi,Bisnis dan Industri
392,Tinjauan atas Implementasi Peraturan Hukum dalam Pengembangan Destinasi Pariwisata: Penilaian Efektivitas dan Tantangan dalam Menegakkan Hukum di Sektor Pariwisata,Hukum,Pariwisata
393,Persepsi Masyarakat tentang Pengelolaan Seni dan Budaya dalam Destinasi Pariwisata,Seni dan Budaya,Pariwisata
394,Persepsi Masyarakat tentang Keadilan Sosial dan Kesetaraan dalam Masyarakat,Sosial dan Kemanusiaan,Sosial dan Kemanusiaan
395,Pengaruh Pendidikan Lingkungan terhadap Pengetahuan dan Sikap Konservasi Siswa: Persepsi Guru dan Siswa tentang Efektivitas Program Pendidikan Lingkungan,Pendidikan,Lingkungan dan Konservasi
396,Pengaruh Seni dan Budaya dalam Memilih Destinasi Pariwisata,Pariwisata,Seni dan Budaya
397,Tinjauan terhadap Kebijakan Hukum dalam Perlindungan Hak dan Kesejahteraan Petani dan Nelayan dalam Industri Pertanian dan Perikanan,Hukum,Pertanian dan Perikanan
398,Survei Kepuasan Masyarakat terhadap Kebijakan Pertanian dan Pengelolaan Sumber Daya Perikanan,Politik dan Pemerintahan,Pertanian dan Perikanan
399,Kontribusi Teknologi Informasi dan Komunikasi dalam Mempertajam Ekspresi dan Penyebaran Karya Seni,Teknologi Informasi dan Komunikasi,Seni dan Budaya
400,Persepsi Masyarakat tentang Implikasi Hukum terhadap Penggunaan Teknologi Informasi dan Komunikasi,Teknologi Informasi dan Komunikasi,Hukum
401,Analisis Terhadap Pandangan Agama dalam Isu Sosial Kontemporer,Agama dan Kepercayaan,Sosial dan Kemanusiaan
402,Persepsi Masyarakat tentang Ketimpangan Sosial dan Ekonomi dalam Sektor Perikanan dan Pertanian,Sosial dan Kemanusiaan,Pertanian dan Perikanan
403,Evaluasi Persepsi dan Pengelolaan Risiko Keuangan Individu,Keuangan,Keuangan
404,Persepsi Masyarakat tentang Tanggung Jawab Sosial dan Etika Bisnis dalam Industri,Sosial dan Kemanusiaan,Bisnis dan Industri
405,Survei Kepuasan Pengguna terhadap Penerapan Teknologi Informasi dalam Transportasi dan Logistik,Transportasi dan Logistik,Teknologi Informasi dan Komunikasi
406,Persepsi dan Kesadaran Masyarakat terhadap Aspek Hukum dalam Pariwisata dan Kepentingan Lokal,Pariwisata,Hukum
407,Persepsi Masyarakat terhadap Peran Media Sosial dan Pengaruhnya dalam Proses Demokrasi,Politik dan Pemerintahan,Teknologi Informasi dan Komunikasi
408,Persepsi Masyarakat tentang Inovasi Seni dan Budaya dalam Mengatasi Tantangan Lingkungan dan Konservasi,Lingkungan dan Konservasi,Seni dan Budaya
409,Penilaian Terhadap Keamanan dan Kenyamanan Transportasi Wisata,Transportasi dan Logistik,Pariwisata
410,Pengaruh Kebijakan Hukum terhadap Keberlanjutan Pariwisata: Studi Kasus tentang Dampak Kebijakan Hukum dalam Mempertahankan Sumber Daya Alam dan Budaya Lokal,Hukum,Pariwisata
411,Evaluasi Peran Pendidikan dalam Mempersiapkan Siswa untuk Dunia Bisnis dan Industri: Persepsi Guru dan Siswa tentang Keterampilan dan Pengetahuan yang Diperlukan,Pendidikan,Bisnis dan Industri
412,Survei Penggunaan Teknologi Informasi dan Komunikasi dalam Praktik Pertanian dan Perikanan,Pertanian dan Perikanan,Teknologi Informasi dan Komunikasi
413,Pemanfaatan Seni dan Budaya sebagai Terapi Komplementer dalam Perawatan Kesehatan,Seni dan Budaya,Kesehatan
414,Peran Olahraga dan Rekreasi dalam Meningkatkan Daya Tarik Pariwisata,Olahraga dan Rekreasi,Pariwisata
415,Pengaruh Faktor Pendidikan terhadap Gaya Hidup Sehat dan Kebiasaan Makan: Survei pada Mahasiswa dalam Konteks Kehidupan Kampus,Pendidikan,Kesehatan
416,Etika dan Moral dalam Olahraga dan Rekreasi Berdasarkan Perspektif Agama dan Kepercayaan,Olahraga dan Rekreasi,Agama dan Kepercayaan
417,Studi Tentang Tantangan dan Inovasi dalam Logistik dan Distribusi Barang Seni dan Budaya,Transportasi dan Logistik,Seni dan Budaya
418,Analisis Dampak Industri Pendidikan terhadap Kesetaraan Akses Pendidikan,Bisnis dan Industri,Pendidikan
419,Hubungan antara Kesehatan dan Kualitas Hidup Sosial dalam Kelompok Lansia: Studi Kasus pada Kelompok Lansia,Kesehatan,Sosial dan Kemanusiaan
420,Dampak Sosial dan Kemanusiaan Investasi dan Donasi dalam Konteks Keuangan,Sosial dan Kemanusiaan,Keuangan
421,Evaluasi Efektivitas Program Pendidikan Hukum di Sekolah: Persepsi Guru dan Siswa tentang Pentingnya Pendidikan Hukum dalam Mempersiapkan Siswa sebagai Warga Negara yang Sadar Hukum,Hukum,Pendidikan
422,Persepsi dan Pengalaman Pasien dalam Mengelola Biaya Kesehatan dan Pengeluaran Medis,Keuangan,Kesehatan
423,Evaluasi Risiko dan Peluang Keuangan dalam Pengembangan Bisnis dan Industri,Keuangan,Bisnis dan Industri
424,Dampak Pariwisata terhadap Masyarakat Lokal dan Pembangunan Ekonomi,Pariwisata,Pariwisata
425,"Tinjauan tentang Pengetahuan Wisatawan terhadap Sejarah, Budaya, dan Warisan dalam Pariwisata dan Implikasinya pada Pendidikan",Pariwisata,Pendidikan
426,Persepsi dan Kebiasaan Pengeluaran Keuangan dalam Aktivitas Olahraga dan Rekreasi,Keuangan,Olahraga dan Rekreasi
427,Studi Tentang Strategi Bisnis Ramah Lingkungan dan Persepsi Konsumen,Bisnis dan Industri,Lingkungan dan Konservasi
428,Evaluasi Dampak Sosial dan Lingkungan Praktik Pertanian dan Perikanan dalam Konteks Konservasi Alam,Lingkungan dan Konservasi,Pertanian dan Perikanan
429,Analisis Dampak Industri dalam Meningkatkan Kualitas Hidup dan Kesejahteraan Masyarakat,Bisnis dan Industri,Sosial dan Kemanusiaan
430,Analisis Dampak Kebijakan Pemerintah terhadap Pengembangan Sektor Bisnis dan Industri,Politik dan Pemerintahan,Bisnis dan Industri
431,Penilaian Keterlibatan Masyarakat dalam Pengelolaan Sumber Daya Pertanian dan Perikanan,Pertanian dan Perikanan,Sosial dan Kemanusiaan
432,Kontribusi Teknologi Finansial dalam Meningkatkan Aksesibilitas dan Inklusi Keuangan,Teknologi Informasi dan Komunikasi,Keuangan
433,Pengaruh Faktor Keuangan dalam Memilih Aktivitas Olahraga dan Rekreasi,Olahraga dan Rekreasi,Keuangan
434,Persepsi Masyarakat tentang Peran Teknologi Informasi dan Komunikasi dalam Peningkatan Kesadaran dan Aksi Konservasi Lingkungan,Teknologi Informasi dan Komunikasi,Lingkungan dan Konservasi
435,Persepsi dan Apresiasi Masyarakat terhadap Seni dan Budaya Lokal,Seni dan Budaya,Seni dan Budaya
436,Pengintegrasian Seni dan Budaya dalam Kurikulum Pendidikan,Seni dan Budaya,Pendidikan
437,Persepsi dan Pemanfaatan Fasilitas Rekreasi dalam Industri Pariwisata,Olahraga dan Rekreasi,Pariwisata
438,Evaluasi Kualitas Pelayanan Kesehatan dalam Industri Transportasi: Perspektif Pengguna Layanan Kesehatan di Bandara Soekarno-Hatta,Kesehatan,Transportasi dan Logistik
439,Dampak Teknologi Informasi dan Komunikasi terhadap Interaksi dan Komunitas Keagamaan dalam Era Digital,Teknologi Informasi dan Komunikasi,Agama dan Kepercayaan
440,Persepsi Masyarakat tentang Manfaat Olahraga dan Rekreasi dalam Konteks Pertanian dan Perikanan,Olahraga dan Rekreasi,Pertanian dan Perikanan
441,Evaluasi Dampak Wisata Olahraga dan Rekreasi terhadap Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Olahraga dan Rekreasi
442,Studi Tentang Tantangan dan Inovasi dalam Pengangkutan dan Distribusi Logistik Kemanusiaan,Transportasi dan Logistik,Sosial dan Kemanusiaan
443,Studi Tentang Tantangan dan Inovasi dalam Transportasi dan Logistik untuk Pariwisata Olahraga,Transportasi dan Logistik,Olahraga dan Rekreasi
444,Penilaian Pengetahuan dan Keterampilan Keuangan dalam Bisnis dan Industri,Keuangan,Bisnis dan Industri
445,Tinjauan terhadap Efektivitas Pengelolaan Keuangan dalam Mendukung Pendidikan yang Berkualitas,Keuangan,Pendidikan
446,Penilaian Terhadap Peran Bisnis dalam Mendukung Gaya Hidup Aktif dan Kesehatan Masyarakat,Bisnis dan Industri,Olahraga dan Rekreasi
447,Survei Kepuasan Nasabah terhadap Layanan Keuangan dari Industri Swasta,Bisnis dan Industri,Keuangan
448,Persepsi dan Kepuasan Masyarakat terhadap Penggunaan Dana Publik dalam Politik dan Pemerintahan,Keuangan,Politik dan Pemerintahan
449,Kesadaran dan Persepsi Masyarakat tentang Isu Lingkungan dan Konservasi,Lingkungan dan Konservasi,Lingkungan dan Konservasi
450,Tinjauan terhadap Regulasi Hukum dalam Menjamin Kepatuhan Etika Bisnis: Persepsi dan Pengalaman Pelaku Bisnis terkait Kebijakan dan Peraturan Hukum yang Mengatur Praktik Bisnis dan Industri,Hukum,Bisnis dan Industri
451,Peran Pemerintah dalam Pengembangan Industri Pariwisata,Pariwisata,Politik dan Pemerintahan
452,Evaluasi Keefektifan Hukum dalam Menjamin Keselamatan dan Keamanan Transportasi dan Logistik,Hukum,Transportasi dan Logistik
453,"Perspektif Masyarakat tentang Keterkaitan Antara Seni, Budaya, Agama, dan Kepercayaan",Seni dan Budaya,Agama dan Kepercayaan
454,Pengaruh Seni dan Budaya dalam Membentuk Identitas dan Konservasi Budaya dalam Konteks Lingkungan,Lingkungan dan Konservasi,Seni dan Budaya
455,Survei Ketersediaan Sumber Pendanaan dan Akses Keuangan bagi Petani dan Nelayan,Pertanian dan Perikanan,Keuangan
456,Analisis Dampak Keputusan Keuangan terhadap Kinerja Bisnis dan Industri,Keuangan,Bisnis dan Industri
457,Survei Kepuasan Pelaku Bisnis terhadap Layanan Transportasi dan Logistik,Transportasi dan Logistik,Bisnis dan Industri
458,Persepsi Masyarakat tentang Upaya Konservasi Lingkungan untuk Meningkatkan Kesehatan dan Kesejahteraan,Lingkungan dan Konservasi,Kesehatan
459,Pengaruh Faktor Keuangan terhadap Pertumbuhan Industri Seni dan Budaya,Seni dan Budaya,Keuangan
460,Survei Kepuasan Pasien terhadap Pelayanan Kesehatan dari Industri Swasta,Bisnis dan Industri,Kesehatan
461,Evaluasi Kinerja dan Efisiensi Pengelolaan Keuangan di Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Keuangan
462,Penilaian Efektivitas Program Keuangan untuk Meningkatkan Kesadaran dan Pendidikan Kesehatan dalam Masyarakat,Keuangan,Kesehatan
463,Penilaian Peran Spiritualitas dalam Peningkatan Kualitas Hidup Masyarakat Pertanian dan Perikanan,Pertanian dan Perikanan,Agama dan Kepercayaan
464,Analisis Dampak Kebijakan Pemerintah terhadap Ketahanan Pangan dan Pembangunan Pertanian Berkelanjutan,Politik dan Pemerintahan,Pertanian dan Perikanan
465,Persepsi Masyarakat tentang Keamanan Pangan dari Sektor Pertanian dan Perikanan: Survei pada Konsumen terkait Kualitas dan Kandungan Gizi Produk Pertanian dan Perikanan,Kesehatan,Pertanian dan Perikanan
466,"Persepsi Siswa tentang Etika, Tanggung Jawab Hukum, dan Hak Asasi Manusia dalam Pendidikan: Tinjauan terhadap Pengaruh Pendidikan Hukum pada Sikap dan Perilaku Siswa",Pendidikan,Hukum
467,Peran Agama dan Kepercayaan dalam Pendidikan dan Pembentukan Nilai Kemanusiaan,Agama dan Kepercayaan,Pendidikan
468,Pengaruh Pemeliharaan Ekosistem Terhadap Kesehatan Manusia: Studi Kasus pada Program Konservasi Sungai dan Kesehatan Masyarakat,Kesehatan,Lingkungan dan Konservasi
469,Survei Wisata Religius: Persepsi dan Preferensi Wisatawan,Agama dan Kepercayaan,Pariwisata
470,Dampak Penggunaan Pupuk dan Pestisida dalam Pertanian terhadap Keseimbangan Ekosistem dan Konservasi Lingkungan,Lingkungan dan Konservasi,Pertanian dan Perikanan
471,Pengaruh Teknologi Informasi dan Komunikasi terhadap Hubungan Sosial dan Interaksi Manusia,Sosial dan Kemanusiaan,Teknologi Informasi dan Komunikasi
472,Persepsi Masyarakat tentang Dampak Teknologi Informasi dan Komunikasi dalam Kehidupan Sosial,Sosial dan Kemanusiaan,Teknologi Informasi dan Komunikasi
473,Penilaian Kepatuhan dan Penegakan Hukum terhadap Pelaku Kejahatan Keuangan,Keuangan,Hukum
474,Tinjauan terhadap Regulasi Hukum dalam Mencegah Pelanggaran Etika dan Integritas dalam Dunia Olahraga: Persepsi dan Pengalaman Para Pihak yang Terlibat dalam Industri Olahraga,Hukum,Olahraga dan Rekreasi
475,Dampak Teknologi Informasi dan Komunikasi terhadap Transparansi dan Akuntabilitas dalam Sistem Politik dan Pemerintahan,Teknologi Informasi dan Komunikasi,Politik dan Pemerintahan
476,Survei Mengenai Etika Hukum Berbasis Agama dan Implikasinya,Agama dan Kepercayaan,Hukum
477,Persepsi Masyarakat terhadap Perlindungan Konsumen dan Hak-hak Penumpang dalam Transportasi,Transportasi dan Logistik,Hukum
478,Evaluasi Fasilitas dan Infrastruktur Olahraga di Destinasi Pariwisata,Pariwisata,Olahraga dan Rekreasi
479,Penilaian Terhadap Peran Pemerintah dalam Perlindungan Data Pribadi dan Keamanan Cyber,Politik dan Pemerintahan,Teknologi Informasi dan Komunikasi
480,Hubungan antara Faktor Pendidikan dan Pengetahuan Kesehatan Masyarakat: Survei tentang Tingkat Kesadaran dan Pemahaman di Kalangan Mahasiswa,Pendidikan,Kesehatan
481,Evaluasi Kualitas Pembelajaran dalam Era Digital: Persepsi Guru dan Siswa terhadap Penggunaan Teknologi dalam Proses Pembelajaran,Pendidikan,Pendidikan
482,Peran Pemangku Kepentingan dalam Mendorong Bisnis dan Industri yang Berkelanjutan dan Ramah Lingkungan,Lingkungan dan Konservasi,Bisnis dan Industri
483,Pengaruh Pendidikan Seksualitas dan Reproduksi terhadap Pengetahuan dan Sikap Kesehatan Reproduksi Remaja: Studi Kasus pada Pelajar,Pendidikan,Kesehatan
484,Dampak Seni dan Budaya dalam Meningkatkan Kesadaran dan Pemahaman terhadap Masalah Sosial,Sosial dan Kemanusiaan,Seni dan Budaya
485,Penilaian Dampak Hukum terhadap Perlindungan Petani dan Nelayan dalam Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Hukum
486,Penggunaan Media Sosial dalam Promosi dan Pemberdayaan Komunitas Olahraga dan Rekreasi,Olahraga dan Rekreasi,Teknologi Informasi dan Komunikasi
487,Survei Kepuasan Masyarakat terhadap Kebijakan Transportasi dan Infrastruktur Logistik,Politik dan Pemerintahan,Transportasi dan Logistik
488,Survei Kepuasan Wisatawan terhadap Aksesibilitas dan Kualitas Transportasi Pariwisata,Transportasi dan Logistik,Pariwisata
489,Peran Pemerintah dalam Mendukung Ekosistem Seni dan Budaya sebagai Wujud Politik Publik,Seni dan Budaya,Politik dan Pemerintahan
490,Dampak Program Sosial dan Kemanusiaan terhadap Peningkatan Kualitas Hidup Masyarakat,Sosial dan Kemanusiaan,Sosial dan Kemanusiaan
491,Persepsi Masyarakat Terhadap Integrasi Agama dalam Dunia Bisnis,Agama dan Kepercayaan,Bisnis dan Industri
492,Dampak Ekspresi Seni dan Budaya terhadap Pemahaman dan Penghormatan terhadap Lingkungan,Lingkungan dan Konservasi,Seni dan Budaya
493,Persepsi Masyarakat terhadap Keberlanjutan dan Pelestarian Seni dan Warisan Budaya oleh Industri,Bisnis dan Industri,Seni dan Budaya
494,Persepsi dan Partisipasi Masyarakat dalam Pengembangan Pariwisata Berkelanjutan,Pariwisata,Sosial dan Kemanusiaan
495,Evaluasi Perlindungan Hukum terhadap Hak-hak Masyarakat Adat dan Hutan: Persepsi dan Pengalaman Masyarakat terkait Hak-hak Lingkungan dalam Konteks Hukum,Hukum,Lingkungan dan Konservasi
496,Peran Agama dan Kepercayaan dalam Penanganan Krisis dan Bencana Sosial,Sosial dan Kemanusiaan,Agama dan Kepercayaan
497,Preferensi dan Partisipasi Wisatawan terhadap Aktivitas Seni dan Budaya di Destinasi Pariwisata,Seni dan Budaya,Pariwisata
498,Evaluasi Program Promosi Kesehatan dalam Meningkatkan Pengetahuan dan Perubahan Perilaku: Studi Kasus pada Program Pencegahan Penyakit Jantung di RS Siloam Jakarta,Kesehatan,Kesehatan
499,Tinjauan terhadap Pengelolaan Keuangan Publik dalam Konteks Politik dan Pemerintahan,Keuangan,Politik dan Pemerintahan
500,Kontribusi Seni dan Budaya dalam Mempromosikan Konservasi Alam dan Keanekaragaman Hayati,Seni dan Budaya,Lingkungan dan Konservasi
501,Keterlibatan Masyarakat Lokal dalam Pengembangan Pariwisata Berbasis Pertanian dan Perikanan,Pariwisata,Pertanian dan Perikanan
502,Persepsi Masyarakat terhadap Partisipasi Politik dan Tingkat Kepercayaan terhadap Institusi Pemerintah,Politik dan Pemerintahan,Politik dan Pemerintahan
503,Analisis Dampak Industri Pariwisata terhadap Pembangunan Ekonomi dan Penghidupan Lokal,Bisnis dan Industri,Pariwisata
504,Evaluasi Peran Pendidikan dalam Membangun Kesadaran Sosial dan Kemanusiaan Siswa: Studi Kasus tentang Program-Program Pendidikan Kemanusiaan di Sekolah,Pendidikan,Sosial dan Kemanusiaan
505,Pengaruh Pendidikan Keuangan terhadap Kesadaran dan Sikap Investasi Siswa: Studi Kasus pada Program Pendidikan Keuangan di Sekolah,Pendidikan,Keuangan
506,Fasilitas dan Infrastruktur Olahraga dan Rekreasi yang Tersedia di Lingkungan Anda,Olahraga dan Rekreasi,Olahraga dan Rekreasi
507,Persepsi Masyarakat tentang Tantangan dan Peluang Penggunaan Teknologi Informasi dan Komunikasi dalam Konservasi Lingkungan,Lingkungan dan Konservasi,Teknologi Informasi dan Komunikasi
508,Kesadaran Wisatawan tentang Pentingnya Praktik Berkelanjutan dalam Pariwisata untuk Konservasi Lingkungan,Lingkungan dan Konservasi,Pariwisata
509,Studi Tentang Tradisi Keagamaan dalam Kalender Pertanian dan Perikanan,Agama dan Kepercayaan,Pertanian dan Perikanan
510,Tinjauan terhadap Keterkaitan Antara Keuangan dan Kebijakan Publik dalam Politik dan Pemerintahan,Keuangan,Politik dan Pemerintahan
511,Persepsi Stakeholder tentang Kontribusi Olahraga dan Rekreasi dalam Pengembangan Pertanian dan Perikanan,Pertanian dan Perikanan,Olahraga dan Rekreasi
512,Kontribusi Teknologi Informasi dan Komunikasi dalam Meningkatkan Pengalaman Wisatawan,Teknologi Informasi dan Komunikasi,Pariwisata
513,Pengaruh Struktur Pemerintahan dan Kebijakan Kesehatan terhadap Akses dan Kualitas Pelayanan Kesehatan: Perspektif Stakeholder,Kesehatan,Politik dan Pemerintahan
514,Evaluasi Keamanan dan Perlindungan Data dalam Transaksi Keuangan Digital,Keuangan,Teknologi Informasi dan Komunikasi
515,Pengaruh Nilai Agama/Kepercayaan terhadap Pemahaman dan Aksi dalam Mewujudkan Kesehatan dan Kemanusiaan,Agama dan Kepercayaan,Kesehatan
516,Penilaian Dampak Regulasi Hukum terhadap Pengembangan dan Inovasi dalam Industri Transportasi dan Logistik,Hukum,Transportasi dan Logistik
517,Pengaruh Hukum terhadap Keamanan Investasi dan Perlindungan Hak Pemegang Saham: Penilaian Dampak Kebijakan Hukum dalam Mendorong Pertumbuhan dan Keberlanjutan Bisnis dan Industri,Hukum,Bisnis dan Industri
518,Pengaruh Pendidikan Politik terhadap Pengetahuan dan Keterampilan Berpikir Kritis Siswa: Studi Kasus pada Program Pendidikan Kewarganegaraan di Sekolah,Pendidikan,Politik dan Pemerintahan
519,Studi Tentang Tantangan dan Inovasi dalam Manajemen Transportasi dan Logistik Publik,Transportasi dan Logistik,Politik dan Pemerintahan
520,Dampak Pariwisata terhadap Pemertahanan Seni dan Budaya Lokal di Destinasi Pariwisata,Pariwisata,Seni dan Budaya
521,Persepsi Siswa tentang Dampak Teknologi Informasi dan Komunikasi pada Proses Belajar-Mengajar: Tinjauan terhadap Keuntungan dan Tantangan dalam Penggunaan Teknologi dalam Pendidikan,Pendidikan,Teknologi Informasi dan Komunikasi
522,Dampak Seni dan Budaya dalam Pembentukan Identitas dan Kehidupan Sosial,Seni dan Budaya,Seni dan Budaya
523,Evaluasi Dampak Ketidakpastian Keuangan pada Akses dan Kualitas Layanan Kesehatan,Keuangan,Kesehatan
524,Survei Praktik Pertanian dan Perikanan Berkelanjutan dalam Kaitannya dengan Pelestarian Lingkungan,Pertanian dan Perikanan,Lingkungan dan Konservasi
525,Pengaruh Pendidikan Kesehatan terhadap Pengetahuan dan Sikap Guru tentang Pencegahan Penyakit Menular: Studi Kasus pada Guru Sekolah Menengah di Kota Bogor,Kesehatan,Pendidikan
526,Dampak Teknologi Informasi dan Komunikasi terhadap Kemanusiaan dan Kesejahteraan Masyarakat,Sosial dan Kemanusiaan,Teknologi Informasi dan Komunikasi
527,Penilaian Terhadap Peran Lembaga Agama dalam Pelestarian Sumber Daya Alam,Agama dan Kepercayaan,Lingkungan dan Konservasi
528,Kebijakan Politik dan Dampaknya terhadap Pariwisata Lokal,Pariwisata,Politik dan Pemerintahan
529,Survei Kepuasan Masyarakat terhadap Pelayanan Transportasi dalam Akses Kesehatan,Transportasi dan Logistik,Kesehatan
530,Persepsi Masyarakat tentang Peran Agama dan Kepercayaan dalam Membangun Solidaritas Sosial,Sosial dan Kemanusiaan,Agama dan Kepercayaan
531,Studi Tentang Tantangan dan Inovasi dalam Transportasi Logistik untuk Logistik Keagamaan,Transportasi dan Logistik,Agama dan Kepercayaan
532,Tinjauan atas Implementasi Program Pendidikan Politik dan Pemerintahan di Sekolah: Penilaian Efektivitas dan Dampak pada Kesadaran Politik dan Partisipasi Siswa,Pendidikan,Politik dan Pemerintahan
533,Penegakan Hukum terhadap Pelanggaran Lingkungan dan Upaya Konservasi,Lingkungan dan Konservasi,Hukum
534,Penilaian Terhadap Keamanan dan Ketersediaan Transportasi dalam Perjalanan Keagamaan,Transportasi dan Logistik,Agama dan Kepercayaan
535,Evaluasi Kepatuhan Hukum dalam Praktik Keuangan: Persepsi dan Pengalaman Pelaku Usaha terhadap Regulasi Hukum dalam Industri Keuangan,Hukum,Keuangan
536,Penilaian Keberlanjutan dan Kelestarian Sumber Daya dalam Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Lingkungan dan Konservasi
537,Preferensi dan Motivasi dalam Memilih Aktivitas Olahraga dan Rekreasi yang Ramah Lingkungan,Olahraga dan Rekreasi,Lingkungan dan Konservasi
538,Pengaruh Teknologi Informasi dan Komunikasi dalam Pemantauan dan Pengendalian Penyakit serta Upaya Kesehatan Masyarakat,Teknologi Informasi dan Komunikasi,Kesehatan
539,Persepsi Stakeholder tentang Tantangan dan Peluang Logistik dalam Pengembangan Sektor Pertanian dan Perikanan,Pertanian dan Perikanan,Transportasi dan Logistik
540,Efektivitas Program Pendidikan Kesehatan dalam Meningkatkan Pengetahuan dan Perilaku Hidup Sehat Siswa Sekolah Dasar: Penelitian pada Sekolah Dasar di Kota Makassar,Kesehatan,Pendidikan
